iter	Passed	Remaining
401	15027	22354
402	15065	22317
403	15102	22279
404	15137	22238
405	15172	22198
406	15210	22161
407	15243	22117
408	15280	22079
409	15316	22041
410	15351	22000
411	15389	21963
412	15424	21922
413	15461	21884
414	15491	21837
415	15529	21800
416	15566	21763
417	15602	21724
418	15639	21686
419	15676	21648
420	15714	21612
421	15749	21571
422	15789	21537
423	15832	21508
424	15876	21480
425	15916	21446
426	15954	21409
427	15987	21366
428	16029	21335
429	16068	21299
430	16104	21261
431	16142	21224
432	16179	21186
433	16217	21150
434	16254	21112
435	16288	21070
436	16323	21029
437	16360	20992
438	16392	20947
439	16430	20911
440	16466	20871
441	16504	20835
442	16541	20798
443	16578	20761
444	16616	20723
445	16651	20683
446	16686	20643
447	16724	20607
448	16759	20566
449	16794	20526
450	16830	20487
451	16865	20448
452	16903	20411
453	16947	20382
454	16987	20347
455	17030	20316
456	17062	20273
457	17097	20233
458	17134	20195
459	17171	20158
460	17204	20115
461	17234	20069
462	17268	20028
463	17306	19992
464	17341	19952
465	17376	19911
466	17408	19868
467	17445	19831
468	17479	19790
469	17516	19752
470	17546	19707
471	17580	19665
472	17616	19628
473	17650	19586
474	17683	19545
475	17723	19510
476	17760	19472
477	17790	19427
478	17827	19390
479	17864	19353
480	17900	19314
481	17939	19279
482	17977	19243
483	18015	19206
484	18054	19170
485	18098	19140
486	18137	19105
487	18171	19065
488	18210	19029
489	18248	18993
490	18285	18955
491	18324	18920
492	18362	18884
493	18402	18849
494	18431	18804
495	18470	18767
496	18506	18729
497	18535	18684
498	18572	18647
499	18610	18610
500	18656	18582
501	18701	18552
502	18739	18516
503	18781	18483
504	18822	18450
505	18863	18415
506	18907	18385
507	18946	18349
508	18991	18320
509	19035	18288
510	19073	18252
511	19111	18215
512	19149	18179
513	19189	18144
514	19233	18113
515	19278	18082
516	19324	18053
517	19366	18020
518	19403	17982
519	19443	17947
520	19475	17905
521	19512	17868
522	19549	17829
523	19586	17792
524	19622	17754
525	19660	17716
526	19694	17676
527	19732	17639
528	19768	17601
529	19806	17564
530	19840	17524
531	19876	17485
532	19912	17447
533	19950	17410
534	19985	17370
535	20022	17332
536	20057	17293
537	20094	17255
538	20131	17218
539	20169	17181
540	20205	17142
541	20240	17103
542	20278	17066
543	20316	17030
544	20356	16994
545	20399	16962
546	20442	16929
547	20485	16896
548	20526	16862
549	20561	16823
550	20599	16786
551	20635	16747
552	20673	16710
553	20709	16672
554	20746	16634
555	20782	16596
556	20819	16558
557	20858	16522
558	20897	16485
559	20935	16449
560	20971	16411
561	21009	16374
562	21046	16336
563	21082	16297
564	21120	16261
565	21157	16223
566	21194	16185
567	21232	16148
568	21270	16111
569	21307	16074
570	21347	16038
571	21383	15999
572	21421	15963
573	21457	15924
574	21497	15889
575	21541	15856
576	21584	15823
577	21627	15790
578	21662	15751
579	21698	15712
580	21732	15672
581	21769	15635
582	21806	15597
583	21843	15560
584	21879	15521
585	21916	15483
586	21950	15443
587	21990	15408
588	22032	15373
589	22067	15334
590	22106	15298
591	22143	15261
592	22182	15224
593	22220	15187
594	22255	15148
595	22291	15110
596	22328	15072
597	22368	15037
598	22404	14998
599	22440	14960
600	22476	14921
601	22514	14884
602	22551	14847
603	22590	14811
604	22624	14771
605	22667	14737
606	22709	14703
607	22752	14669
608	22809	14644
609	22850	14609
610	22886	14571
611	22923	14533
612	22959	14495
613	23000	14459
614	23036	14421
615	23073	14383
616	23113	14347
617	23150	14309
618	23187	14271
619	23222	14232
620	23260	14195
621	23296	14157
622	23333	14119
623	23362	14077
624	23401	14041
625	23437	14002
626	23475	13965
627	23511	13926
628	23546	13888
629	23583	13850
630	23617	13811
631	23654	13773
632	23692	13736
633	23729	13698
634	23766	13661
635	23814	13629
636	23857	13595
637	23895	13558
638	23935	13521
639	23963	13479
640	24000	13441
641	24036	13403
642	24073	13365
643	24109	13327
644	24145	13289
645	24181	13251
646	24220	13214
647	24257	13176
648	24292	13138
649	24328	13100
650	24361	13059
651	24396	13021
652	24433	12983
653	24469	12945
654	24505	12907
655	24541	12869
656	24577	12831
657	24614	12793
658	24651	12755
659	24688	12718
660	24723	12679
661	24757	12640
662	24792	12602
663	24830	12564
664	24866	12526
665	24906	12490
666	24945	12454
667	24990	12420
668	25033	12385
669	25074	12350
670	25110	12311
671	25147	12274
672	25184	12236
673	25221	12199
674	25258	12161
675	25295	12123
676	25333	12086
677	25367	12047
678	25405	12010
679	25441	11972
680	25476	11934
681	25514	11896
682	25551	11859
683	25587	11821
684	25624	11783
685	25663	11746
686	25701	11709
687	25729	11668
688	25758	11626
689	25796	11589
690	25833	11552
691	25867	11513
692	25904	11475
693	25938	11436
694	25976	11399
695	26015	11363
696	26054	11326
697	26094	11290
698	26137	11255
699	26181	11220
700	26222	11184
701	26261	11147
702	26298	11110
703	26334	11072
704	26375	11036
705	26412	10998
706	26448	10961
707	26485	10923
708	26523	10886
709	26561	10848
710	26596	10810
711	26633	10773
712	26670	10735
713	26707	10698
714	26739	10658
715	26778	10621
716	26816	10584
717	26849	10545
718	26886	10507
719	26923	10470
720	26961	10433
721	26998	10395
722	27032	10356
723	27068	10318
724	27109	10283
725	27146	10245
726	27180	10206
727	27216	10168
728	27257	10132
729	27299	10096
730	27344	10062
731	27379	10024
732	27415	9986
733	27450	9947
734	27489	9911
735	27529	9874
736	27565	9836
737	27600	9798
738	27637	9760
739	27674	9723
740	27710	9685
741	27748	9648
742	27785	9610
743	27824	9574
744	27863	9537
745	27901	9500
746	27940	9463
747	27978	9426
748	28014	9388
749	28052	9350
750	28095	9315
751	28133	9278
752	28168	9239
753	28206	9202
754	28245	9165
755	28283	9128
756	28321	9091
757	28361	9054
758	28405	9019
759	28445	8982
760	28488	8946
761	28526	8909
762	28563	8872
763	28605	8836
764	28637	8797
765	28672	8758
766	28705	8720
767	28742	8682
768	28778	8644
769	28816	8607
770	28852	8569
771	28888	8531
772	28922	8493
773	28954	8454
774	28990	8416
775	29025	8378
776	29064	8341
777	29100	8303
778	29138	8266
779	29172	8228
780	29209	8190
781	29247	8153
782	29283	8115
783	29321	8078
784	29358	8040
785	29392	8002
786	29421	7962
787	29461	7926
788	29495	7887
789	29536	7851
790	29577	7814
791	29619	7778
792	29663	7743
793	29700	7705
794	29736	7667
795	29774	7630
796	29810	7592
797	29847	7555
798	29883	7517
799	29918	7479
800	29955	7442
801	29990	7404
802	30028	7366
803	30065	7329
804	30097	7290
805	30134	7253
806	30170	7215
807	30209	7178
808	30243	7140
809	30279	7102
810	30315	7064
811	30351	7027
812	30390	6990
813	30427	6952
814	30463	6914
815	30496	6876
816	30533	6839
817	30570	6801
818	30604	6763
819	30643	6726
820	30686	6690
821	30730	6654
822	30773	6618
823	30811	6581
824	30848	6543
825	30880	6505
826	30915	6467
827	30952	6429
828	30989	6392
829	31026	6354
830	31062	6317
831	31100	6279
832	31138	6242
833	31175	6205
834	31211	6167
835	31248	6130
836	31282	6092
837	31321	6054
838	31356	6017
839	31393	5979
840	31430	5942
841	31465	5904
842	31504	5867
843	31541	5829
844	31576	5792
845	31614	5754
846	31652	5717
847	31688	5680
848	31725	5642
849	31761	5605
850	31800	5567
851	31842	5531
852	31886	5495
853	31929	5458
854	31966	5421
855	32001	5383
856	32038	5345
857	32073	5308
858	32110	5270
859	32145	5232
860	32182	5195
861	32217	5157
862	32252	5119
863	32289	5082
864	32326	5045
865	32363	5007
866	32399	4970
867	32437	4932
868	32473	4895
869	32510	4857
870	32546	4820
871	32584	4783
872	32623	4745
873	32658	4708
874	32695	4670
875	32730	4633
876	32767	4595
877	32803	4558
878	32841	4520
879	32877	4483
880	32913	4445
881	32955	4408
882	32995	4371
883	33038	4335
884	33079	4298
885	33117	4261
886	33154	4223
887	33189	4186
888	33227	4148
889	33263	4111
890	33298	4073
891	33334	4035
892	33372	3998
893	33409	3961
894	33447	3924
895	33483	3886
896	33522	3849
897	33560	3811
898	33597	3774
899	33634	3737
900	33671	3699
901	33709	3662
902	33745	3624
903	33782	3587
904	33818	3550
905	33856	3512
906	33894	3475
907	33931	3437
908	33965	3400
909	34003	3362
910	34039	3325
911	34080	3288
912	34121	3251
913	34165	3214
914	34210	3178
915	34248	3140
916	34283	3103
917	34321	3065
918	34359	3028
919	34395	2990
920	34432	2953
921	34471	2916
922	34507	2878
923	34541	2841
924	34578	2803
925	34617	2766
926	34654	2728
927	34688	2691
928	34724	2653
929	34763	2616
930	34802	2579
931	34839	2541
932	34875	2504
933	34912	2467
934	34948	2429
935	34983	2392
936	35016	2354
937	35055	2317
938	35089	2279
939	35128	2242
940	35167	2204
941	35215	2168
942	35259	2131
943	35304	2094
944	35344	2057
945	35383	2019
946	35419	1982
947	35456	1944
948	35494	1907
949	35534	1870
950	35571	1832
951	35608	1795
952	35645	1757
953	35681	1720
954	35717	1683
955	35753	1645
956	35788	1608
957	35824	1570
958	35861	1533
959	35896	1495
960	35929	1458
961	35966	1420
962	36002	1383
963	36039	1345
964	36074	1308
965	36110	1270
966	36146	1233
967	36183	1196
968	36219	1158
969	36258	1121
970	36297	1084
971	36338	1046
972	36373	1009
973	36418	972
974	36458	934
975	36502	897
976	36542	860
977	36580	822
978	36622	785
979	36662	748
980	36701	710
981	36736	673
982	36785	636
983	36824	598
984	36863	561
985	36902	523
986	36939	486
987	36978	449
988	37019	411
989	37062	374
990	37107	336
991	37151	299
992	37191	262
993	37235	224
994	37273	187
995	37310	149
996	37346	112
997	37384	74
998	37420	37
999	37457	0
