iter	RMSE
333	0.4708186939
334	0.4707675771
335	0.4707594999
336	0.4706651696
337	0.4706133287
338	0.4705105329
339	0.4704648471
340	0.4703810698
341	0.4703133662
342	0.4702580073
343	0.470158517
344	0.4700723643
345	0.4700556983
346	0.4699454552
347	0.4699214958
348	0.4698429959
349	0.469794248
350	0.4697282102
351	0.4696349076
352	0.4695558268
353	0.4694781038
354	0.4693825941
355	0.4693161592
356	0.4692429868
357	0.4691218307
358	0.4690809543
359	0.469024563
360	0.4689128774
361	0.4688268934
362	0.4687392221
363	0.4686971126
364	0.4686244346
365	0.4685655012
366	0.4684704009
367	0.4683901038
368	0.4683103545
369	0.4682435726
370	0.4681630678
371	0.4680742856
372	0.4679918831
373	0.46794938
374	0.4678677851
375	0.467843059
376	0.4677552779
377	0.4676694086
378	0.4675591604
379	0.4675174068
380	0.467444378
381	0.4673920525
382	0.4673230353
383	0.4672766608
384	0.4671824695
385	0.4671417937
386	0.4670673948
387	0.4669958387
388	0.4669176477
389	0.4668786344
390	0.4667965939
391	0.4666729179
392	0.466582693
393	0.4665058822
394	0.4664463832
395	0.4663658461
396	0.4662812507
397	0.4662223778
398	0.4661330723
399	0.4660352777
400	0.4659542413
401	0.4658986621
402	0.4658178525
403	0.4657518652
404	0.4657071292
405	0.4656563177
406	0.4655691817
407	0.4655438607
408	0.465470563
409	0.4654333847
410	0.4653211028
411	0.4652419001
412	0.4651839653
413	0.4651168686
414	0.465078126
415	0.4649812154
416	0.4648905373
417	0.4648221089
418	0.4647496163
419	0.4646755618
420	0.4646227724
421	0.4645010212
422	0.4644177538
423	0.4643422523
424	0.464199255
425	0.4641515215
426	0.4640669036
427	0.4640252076
428	0.463965087
429	0.4638998461
430	0.4638504199
431	0.4637650572
432	0.4637291336
433	0.4636354511
434	0.4635828329
435	0.4635205992
436	0.4634360461
437	0.4633448563
438	0.4633034036
439	0.4632508115
440	0.4631870644
441	0.4631428997
442	0.4630633633
443	0.4629878829
444	0.4629354507
445	0.4628790001
446	0.4628198914
447	0.4627544468
448	0.4627070699
449	0.4626340332
450	0.4625851723
451	0.4625171719
452	0.4624608974
453	0.462392022
454	0.4623856414
455	0.4623176424
456	0.4622949372
457	0.4622175886
458	0.4621200942
459	0.4620537677
460	0.4620480077
461	0.4620422662
462	0.4619790237
463	0.461915753
464	0.4618471322
465	0.4618012331
466	0.4617387375
467	0.46166749
468	0.4616554933
469	0.4616010068
470	0.4615891287
471	0.461540244
472	0.4614842831
473	0.4614465314
474	0.4614410368
475	0.4613639285
476	0.4613177603
477	0.4613128841
478	0.4612504875
479	0.4611893702
480	0.4611033741
481	0.4610221982
482	0.4609500924
483	0.4608313993
484	0.4607664315
485	0.4606894274
486	0.4606603618
487	0.4606336107
488	0.4605776389
489	0.4605198894
490	0.4604492969
491	0.4603705076
492	0.4603058868
493	0.4602608992
494	0.4602492567
495	0.46016399
496	0.4601101895
497	0.4601063072
498	0.4600511855
499	0.4599940231
500	0.4599200951
501	0.4598695774
502	0.4597960294
503	0.4597377231
504	0.4596483172
505	0.4595895848
506	0.4595336825
507	0.4594898962
508	0.4594360066
509	0.4593164438
510	0.4592602117
511	0.4592123703
512	0.459208343
513	0.4590868976
514	0.459029148
515	0.4589324754
516	0.4588802868
517	0.4587789304
518	0.4587391028
519	0.4586588653
520	0.4586548112
521	0.4586196806
522	0.458562154
523	0.4584949941
524	0.4584149605
525	0.4583554927
526	0.4583181973
527	0.458261181
528	0.4582061106
529	0.4581437996
530	0.4581399048
531	0.4580900854
532	0.4580426065
533	0.4579809646
534	0.4579380262
535	0.4578871454
536	0.4578352622
537	0.4577327216
538	0.4576826163
539	0.4576091567
540	0.4575604642
541	0.4575515023
542	0.4574861841
543	0.4573751972
544	0.457318849
545	0.4572779147
546	0.4572251403
547	0.4571559985
548	0.4570905874
549	0.4570351357
550	0.4569710409
551	0.4569337215
552	0.4568843126
553	0.456837564
554	0.4567675069
555	0.4567083511
556	0.4566653916
557	0.4565843083
558	0.4565001539
559	0.4564449728
560	0.4563937974
561	0.4563457408
562	0.4562898038
563	0.456207527
564	0.4561476225
565	0.4561134398
566	0.4560547995
567	0.4559820002
568	0.4559200796
569	0.4558660078
570	0.4558206509
571	0.4557846893
572	0.4557546942
573	0.4557033403
574	0.4556648657
575	0.455589283
576	0.4555386786
577	0.4554737914
578	0.4554334634
579	0.4553684969
580	0.4553605363
581	0.4552957165
582	0.4552620294
583	0.455208976
584	0.4551419275
585	0.4550709027
586	0.4550320454
587	0.4549858762
588	0.4549188357
589	0.4548784247
590	0.4548274345
591	0.4547739318
592	0.4547333184
593	0.4546983037
594	0.4546433039
595	0.4545972546
596	0.454486208
597	0.4544383667
598	0.4544350474
599	0.4543949158
600	0.4543648114
601	0.4543157802
602	0.4542836656
603	0.454235585
604	0.4541843875
605	0.4541235505
606	0.4540930391
607	0.4540223116
608	0.4539727282
609	0.4539343722
610	0.4538913739
611	0.4538602017
612	0.4538129903
613	0.453767821
614	0.4537226424
615	0.4536631511
616	0.4536118978
617	0.4535233174
618	0.4535032479
619	0.4534629758
620	0.4534190898
621	0.4533707368
622	0.4533224694
623	0.4532925778
624	0.4532295758
625	0.4531843943
626	0.4531436785
627	0.453102491
628	0.4530537189
629	0.4530063179
630	0.4529467513
631	0.452937798
632	0.4528924648
633	0.452849628
634	0.4528030864
635	0.452763304
636	0.4526976983
637	0.4526447313
638	0.4525941066
639	0.4525915268
640	0.4525607473
641	0.4525173264
642	0.4524500257
643	0.4524068662
644	0.452372337
645	0.4523464445
646	0.4522926951
647	0.4522569101
648	0.4522246136
649	0.4522039259
650	0.4522021892
651	0.4521663397
652	0.4521225954
653	0.4520884964
654	0.4520499736
655	0.4519519781
656	0.451868811
657	0.4518288514
658	0.4517674401
659	0.4517190085
660	0.4516439925
661	0.451564785
662	0.4515267785
663	0.4514668145
664	0.4514039262
665	0.4513489279
666	0.4513224585
667	0.4512870682
668	0.4512464156
669	0.451175179
670	0.4511274389
671	0.4510572951
672	0.4509885961
673	0.4509529902
674	0.4508907771
675	0.4507901924
676	0.450742475
677	0.4506949733
678	0.4506482406
679	0.450574359
680	0.4505381495
681	0.4504973249
682	0.4504540471
683	0.4504171786
684	0.4503774097
685	0.4503243295
686	0.450284921
687	0.450282271
688	0.4502796334
689	0.4502458598
690	0.4501890129
691	0.4501193119
692	0.4500680192
693	0.4500425164
694	0.4499537164
695	0.4499215894
696	0.4498697084
697	0.4497853876
698	0.4497488489
699	0.4497026813
700	0.449667421
701	0.4496220298
702	0.44959337
703	0.4495359253
704	0.449485507
705	0.449454454
706	0.4493885984
707	0.4493482672
708	0.4493012355
709	0.4492682043
710	0.4492307156
711	0.4492023623
712	0.4491593091
713	0.4491178133
714	0.4490879817
715	0.4490016605
716	0.448928899
717	0.4489228283
718	0.4488718135
719	0.4488114203
720	0.4487657146
721	0.4487314376
722	0.4487160807
723	0.4486974434
724	0.4486395572
725	0.4485920003
726	0.448589438
727	0.4485199285
728	0.4484651802
729	0.4484201748
730	0.4483764592
731	0.4483536581
732	0.4483294008
733	0.4482948603
734	0.4482504929
735	0.4481791706
736	0.448130992
737	0.4480887026
738	0.4480001779
739	0.4479692924
740	0.44793049
741	0.4478937123
742	0.44784118
743	0.4478002775
744	0.4477719141
745	0.4477120572
746	0.4476729893
747	0.4476303162
748	0.4475928985
749	0.4475698905
750	0.4475215212
751	0.4474630199
752	0.4474452708
753	0.4474218442
754	0.4473989907
755	0.4473686739
756	0.4473214302
757	0.4472715928
758	0.447225815
759	0.4471788385
760	0.4471519122
761	0.4471202457
762	0.4470876876
763	0.4470633262
764	0.4470164377
765	0.4469767823
766	0.4469488084
767	0.4468879648
768	0.4468472204
769	0.4468156529
770	0.4467891309
771	0.4467216139
772	0.4467035089
773	0.4466693407
774	0.4465891415
775	0.4465642415
776	0.4465007039
777	0.4464525571
778	0.4464209369
779	0.4463661065
780	0.4463352573
781	0.4463096196
782	0.4462563064
783	0.4462372334
784	0.4461980635
785	0.446161588
786	0.4461408005
787	0.4461024508
788	0.446066984
789	0.4460161206
790	0.4459797443
791	0.4458742776
792	0.4458260285
793	0.4457770953
794	0.4457224408
795	0.445678862
796	0.4456402232
797	0.4456042849
798	0.4455686061
799	0.4455436459
800	0.44549158
801	0.4454598457
802	0.4454331225
803	0.4453911831
804	0.4453840788
805	0.4453574481
806	0.4453337935
807	0.4452737684
808	0.445250866
809	0.4452206366
810	0.4451783284
811	0.445139901
812	0.4450827197
813	0.4450266156
814	0.4449755635
815	0.4449210689
816	0.4448772185
817	0.4448497256
818	0.444838281
819	0.4448100161
820	0.4447513891
821	0.4447138682
822	0.4446442063
823	0.4445850992
824	0.4445518443
825	0.4445116847
826	0.4444796673
827	0.444446027
828	0.444371096
829	0.444331525
830	0.4442919939
831	0.4442282844
832	0.444208528
833	0.4441579061
834	0.4441171496
835	0.4440786134
836	0.4440656693
837	0.4440349037
838	0.4439823136
839	0.4439435051
840	0.4438708475
841	0.4438446582
842	0.4438209372
843	0.4437871088
844	0.4437469204
845	0.4437025124
846	0.4436601046
847	0.4436262117
848	0.4436060811
849	0.4435545692
850	0.4435164599
851	0.443483081
852	0.443457412
853	0.443413108
854	0.4433676029
855	0.4433255883
856	0.4433007708
857	0.443236548
858	0.4432080962
859	0.4431765057
860	0.4431504915
861	0.443123098
862	0.4431124918
863	0.4430622201
864	0.4430341831
865	0.4430008792
866	0.442962359
867	0.4429259087
868	0.4429057004
869	0.4428898577
870	0.4428633965
871	0.4428342236
872	0.4428174125
873	0.4427697443
874	0.4427283632
875	0.4426941575
876	0.442640959
877	0.4426065208
878	0.44259088
879	0.442568378
880	0.4425462371
881	0.442524318
882	0.442497839
883	0.442459935
884	0.4424140123
885	0.4423782373
886	0.4423655683
887	0.4423425702
888	0.4423034516
889	0.442261904
890	0.4422339733
891	0.442225341
892	0.4421706384
893	0.4421399485
894	0.4420675953
895	0.4420071578
896	0.4419695829
897	0.4419027837
898	0.4418667781
899	0.4418184604
900	0.4417835055
901	0.4417341031
902	0.4417218463
903	0.4416827231
904	0.4416345764
905	0.4416023271
906	0.4415570999
907	0.4415030697
908	0.4414561367
909	0.4413972379
910	0.441372022
911	0.4413435407
912	0.4413256566
913	0.4412834746
914	0.4412585799
915	0.4412142555
916	0.4411846997
917	0.4411577431
918	0.4411227479
919	0.441033168
920	0.4409913979
921	0.4409550472
922	0.4409134063
923	0.440885775
924	0.4408562811
925	0.4408182736
926	0.440800375
927	0.4407791399
928	0.4407530205
929	0.4406630848
930	0.4406393104
931	0.4406150004
932	0.4405770705
933	0.4405487246
934	0.4405248132
935	0.4405133169
936	0.440488919
937	0.4404461059
938	0.4404229654
939	0.4403955012
940	0.4403545156
941	0.4403292738
942	0.4402913319
943	0.4402476905
944	0.4402222222
945	0.440184301
946	0.440152362
947	0.4401071547
948	0.4400869495
949	0.440070458
950	0.4400327194
951	0.4400085948
952	0.4399735363
953	0.4399217484
954	0.4399039721
955	0.4398803648
956	0.4398400588
957	0.4398082001
958	0.4397636323
959	0.4397320406
960	0.4396929517
961	0.4396547959
962	0.4396101472
963	0.4395881482
964	0.439549709
965	0.4395147475
966	0.4394728231
967	0.4394330305
968	0.4394110323
969	0.4393779345
970	0.4393467653
971	0.4392903954
972	0.4392889281
973	0.4392500352
974	0.4392298495
975	0.4391781378
976	0.4391468265
977	0.4391103524
978	0.4390871331
979	0.4390487966
980	0.4390111454
981	0.4389907765
982	0.4389583587
983	0.4389111678
984	0.4388803905
985	0.4388300944
986	0.4387996795
987	0.4387591441
988	0.4387130125
989	0.4386770158
990	0.4386477542
991	0.4386102015
992	0.4385787264
993	0.4385478965
994	0.4385033652
995	0.438481052
996	0.4384329343
997	0.4384044101
998	0.4383768005
999	0.4383154643
